French,English
partie,part
histoire,history
chercher,search
police,police
aide,help
demande,request
mois,month
frère,brother
laisser,let
car,because
parlé,speak
arrivé,come
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
attention,Warning
voici,here is
type,type
leurs,their
donné,given
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
tiens,here
tellement,so much
enfant,child
point,point
venu,came
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
jouer,to play
